ID,WC_TA,RE_TA,EBIT_TA,MVE_BVTD,S_TA,Industry
41629,0.097,0.021,0.048,0.429,0.103,10
78356,0.197,0.336,0.055,3.156,0.629,12
73354,0.081,0.291,0.046,1.736,0.369,8
38676,0.087,0.312,0.047,4.982,0.744,4
80911,-0.005,-0.03,0.034,0.343,0.124,7
59434,0.442,0.463,0.095,1.358,0.31,11
38318,0.486,0.708,0.104,4.975,0.509,6
66830,0.214,0.306,0.066,1.534,0.252,12
78765,0.47,0.505,0.108,0.911,0.167,7
42351,0.109,0.136,0.042,1.152,0.285,3
34087,0.201,0.211,0.064,0.487,0.145,2
50786,0.133,0.126,0.049,0.469,0.131,1
76358,0.151,0.246,0.055,0.89,0.186,6
68710,0.428,0.419,0.107,1.319,0.139,11
37164,0.053,-1.332,0.048,0.038,0.049,4
49394,0.024,0.108,0.036,0.904,0.218,3
81967,0.341,0.483,0.068,4.482,0.492,6
54132,0.047,0.072,0.05,0.687,0.184,12
49464,0.094,0.364,0.047,3.373,0.405,6
65583,0.111,0.164,0.055,0.581,0.141,2
78301,0.268,0.403,0.063,1.658,0.31,2
48497,0.038,-0.031,0.038,0.242,0.1,4
52036,0.073,0.141,0.05,0.732,0.201,7
50619,0.192,0.287,0.061,1.031,0.244,9
45286,-0.014,-0.073,0.026,0.919,0.159,11
57740,0.009,0.065,0.044,0.773,0.167,4
71345,0.246,0.372,0.062,1.978,0.328,7
59154,-0.011,-0.299,0.024,0.144,0.084,7
80940,0.136,0.289,0.051,1.469,0.293,9
41934,0.205,0.322,0.063,1.575,0.314,1
46720,0.239,0.267,0.061,0.65,0.231,3
47241,0.123,0.186,0.062,0.564,0.151,6
46810,0.286,0.355,0.066,2.637,0.376,8
79305,0.06,0.077,0.034,0.497,0.222,10
49677,0.116,0.343,0.056,3.016,0.379,1
35467,0.209,0.595,0.065,6.29,0.623,4
76575,0.039,0.105,0.038,0.92,0.294,9
68390,0.271,0.298,0.067,1.266,0.305,11
55849,0.298,0.375,0.068,2.126,0.367,7
48513,-0.025,-0.029,0.032,0.411,0.139,2
33277,0.22,0.344,0.056,1.847,0.362,12
36484,0.079,0.334,0.054,3.552,0.381,9
74649,0.251,0.39,0.065,2.872,0.456,4
38193,0.026,0.109,0.037,0.699,0.208,2
37571,0.119,0.237,0.055,0.997,0.212,10
65480,0.224,0.473,0.063,3.539,0.359,12
59796,0.455,0.45,0.101,0.556,0.179,4
53656,0.493,0.692,0.074,5.281,0.591,6
36629,0.103,0.173,0.052,0.467,0.11,3
83677,0.142,0.425,0.052,3.393,0.498,11
71250,0.34,0.448,0.083,1.49,0.236,6
69769,0.214,0.704,0.064,13.115,0.68,3
41223,-0.035,-0.006,0.021,0.482,0.16,6
68743,0.503,0.631,0.087,3.353,0.519,11
34384,0.048,0.13,0.042,0.609,0.15,8
75516,0.109,0.441,0.055,2.707,0.372,10
73252,-0.001,0.079,0.035,0.516,0.166,9
60092,0.026,0.226,0.039,1.737,0.483,5
78005,0.071,0.329,0.049,3.994,0.521,3
41469,0.052,0.138,0.036,0.674,0.19,5
70605,0.277,0.201,0.074,0.398,0.134,6
61612,0.128,0.205,0.07,1.414,0.305,7
65762,0.021,0.135,0.039,1.308,0.263,9
77142,0.055,-0.124,0.04,0.168,0.095,5
53208,0.235,0.436,0.066,3.534,0.346,8
66809,0.053,-0.394,0.039,0.084,0.068,6
50249,0.046,0.141,0.04,0.575,0.239,1
65016,0.087,0.29,0.048,1.864,0.308,6
43789,0.148,0.056,0.055,0.361,0.114,4
63555,0.148,0.375,0.052,2.64,0.427,1
37788,0.192,0.265,0.065,1.448,0.281,5
57512,-0.026,0.173,0.021,2.758,0.702,10
39154,0.118,0.259,0.055,1.508,0.273,12
59507,-0.094,-0.506,0.016,0.223,0.138,1
76836,0.115,0.212,0.061,1.506,0.278,1
84567,-2.065,-2.709,-0.396,0.053,0.068,1
48642,-0.013,0.041,0.029,0.45,0.199,5
84013,0.226,0.263,0.058,1.415,0.327,8
34028,0.184,0.233,0.051,1.111,0.3,5
82229,-0.026,0.205,0.025,2.174,0.254,2
51106,0.084,0.16,0.05,0.703,0.205,11
72580,0.009,0.046,0.034,1.009,0.376,5
64657,0.328,0.57,0.069,3.727,0.426,7
75930,0.13,0.248,0.047,1.732,0.301,3
60354,0.145,0.31,0.053,1.774,0.367,11
48661,0.348,0.143,0.078,0.256,0.103,3
34415,0.013,-0.004,0.033,0.22,0.125,6
35264,0.274,0.309,0.067,0.999,0.266,9
76902,-0.03,-0.314,0.028,0.104,0.098,9
52408,0.202,0.181,0.055,1.084,0.313,3
61189,0.067,0.294,0.045,3.329,0.533,4
46751,0.062,0.162,0.047,0.896,0.274,6
71352,0.426,0.632,0.09,2.43,0.425,8
40512,0.426,0.685,0.083,4.255,0.357,10
85050,0.373,0.461,0.077,2.607,0.598,7
57664,-0.076,-0.222,0.018,0.966,0.334,1
35241,-0.054,-0.118,0.016,0.401,0.124,8
44831,0.128,0.248,0.052,2.041,0.397,11
74510,0.297,0.354,0.069,1.112,0.164,1
76825,0.108,0.214,0.052,1.441,0.242,5
68556,0.074,0.095,0.043,0.681,0.225,2
73645,0.031,0.043,0.035,0.625,0.177,2
67089,0.185,0.414,0.061,3.359,0.612,12
69873,0.071,0.082,0.038,0.408,0.152,11
35976,0.187,0.375,0.058,2.286,0.432,6
76743,0.04,0.142,0.039,1.998,0.308,1
64678,0.161,0.21,0.052,1.274,0.315,12
70045,0.223,0.366,0.065,2.004,0.31,11
62260,0.3,0.389,0.067,2.764,0.491,4
84932,0.246,0.284,0.061,0.814,0.215,4
71145,-0.002,0.176,0.034,1.525,0.252,9
47713,0.361,0.642,0.089,6.281,0.621,12
59485,0.197,0.437,0.065,4.284,0.56,6
59810,0.148,0.48,0.059,3.567,0.359,12
71787,0.185,0.246,0.052,0.799,0.235,3
44203,-0.04,-0.284,0.031,0.188,0.117,6
50592,0.01,-0.011,0.029,0.333,0.141,8
33549,0.594,0.781,0.125,5.501,0.561,5
73904,0.043,0.134,0.038,0.843,0.159,12
61050,0.01,-0.106,0.033,0.272,0.113,5
65864,-0.099,-0.687,0.001,0.168,0.176,9
77888,-0.082,-0.315,0.023,0.169,0.106,6
41085,0.108,0.244,0.056,1.48,0.34,3
48422,0.291,0.295,0.083,1.101,0.23,2
76138,0.116,0.218,0.056,0.967,0.301,10
37822,0.024,0.163,0.037,1.483,0.196,3
76391,0.211,0.616,0.065,10.421,0.849,2
70134,0.003,0.156,0.031,1.464,0.394,7
48229,0.243,0.439,0.072,4.406,0.567,1
64620,0.236,0.33,0.064,0.907,0.299,4
72016,0.021,0.092,0.038,0.508,0.188,10
77104,0.024,0.086,0.042,0.617,0.212,4
66000,0.111,0.426,0.057,4.537,0.673,3
38061,0.247,0.33,0.065,1.546,0.244,3
74970,-0.128,-0.11,-0.004,0.501,0.334,12
68086,0.365,0.397,0.092,0.787,0.13,1
72156,0.03,0.252,0.041,3.702,0.356,1
76692,0.102,0.126,0.054,0.614,0.174,9
79955,0.294,0.325,0.075,0.899,0.253,6
55828,0.389,0.514,0.076,2.201,0.357,10
57577,0.144,0.306,0.052,2.419,0.279,6
55273,0.356,0.21,0.074,0.592,0.094,6
35104,0.179,0.391,0.057,2.555,0.399,10
75718,0.072,0.219,0.045,1.07,0.252,7
61040,-0.157,-0.501,-0.002,0.215,0.104,6
59306,-0.022,0.109,0.027,1.295,0.329,9
48400,0.116,0.137,0.062,0.864,0.162,2
69313,-0.065,0.035,0.022,0.481,0.361,9
72841,0.303,0.378,0.072,1.514,0.274,7
51363,0.121,0.255,0.056,0.966,0.206,7
73695,-0.004,-0.031,0.031,0.438,0.227,5
68537,0.088,0.316,0.054,1.239,0.242,10
43987,0.049,0.111,0.044,0.685,0.246,11
38298,0.022,-0.047,0.031,0.935,0.386,11
80876,0.419,0.68,0.091,2.971,0.367,5
47263,0.044,0.243,0.039,2.105,0.37,2
82926,0.299,0.379,0.077,1.897,0.365,9
57224,0.245,0.612,0.065,6.931,0.87,4
66244,-0.145,-1.091,-0.005,0.08,0.102,5
51321,0.26,0.372,0.064,1.755,0.373,10
65348,-0.098,-0.596,0.001,0.153,0.068,4
84534,0.209,0.318,0.062,1.072,0.19,2
52665,0.028,0.071,0.038,0.7,0.209,12
46233,-0.421,-1.28,-0.094,0.146,0.103,3
61592,0.002,-0.004,0.036,0.397,0.157,6
59319,-0.065,-0.003,0.001,0.78,0.176,12
70866,-0.054,-0.309,0.027,0.228,0.124,10
53411,0.302,0.348,0.066,2.091,0.388,9
43431,-0.081,-0.233,0.017,0.238,0.111,6
38468,0.076,0.135,0.04,0.965,0.217,11
40143,0.032,-0.001,0.05,0.106,0.073,5
52106,0.058,0.197,0.035,2.163,0.323,9
84767,0.121,0.148,0.047,0.652,0.194,5
37893,0.283,0.542,0.067,2.421,0.451,7
81116,0.298,0.379,0.087,1.779,0.313,12
45337,0.018,-0.03,0.036,0.372,0.167,3
47883,0.124,0.13,0.047,0.608,0.158,10
66897,-0.004,-0.114,0.037,0.172,0.1,11
52574,-0.124,-0.079,0,1.072,0.187,11
34639,0.294,0.455,0.075,1.968,0.331,8
34504,0.218,0.224,0.059,0.73,0.129,5
74619,-0.035,-0.05,0.018,0.456,0.15,9
57984,0.036,-0.011,0.038,0.299,0.112,8
82711,0.229,0.381,0.06,1.985,0.313,6
39630,0.153,0.239,0.054,1.382,0.326,8
39725,0.096,0.232,0.049,1.397,0.287,7
76454,0.326,0.271,0.076,0.461,0.078,10
42714,0.575,0.765,0.115,4.642,0.462,4
50606,0.091,0.08,0.044,0.557,0.129,2
78992,0.175,0.403,0.056,4.035,0.535,12
44136,0.26,0.294,0.066,1.056,0.244,5
81795,0.105,0.3,0.046,1.381,0.234,5
39443,-0.008,0.043,0.034,0.89,0.318,6
39771,0.119,0.227,0.048,1.17,0.271,10
75680,0.131,0.176,0.047,0.626,0.138,2
48477,-0.029,-0.007,0.026,0.543,0.197,4
69620,-0.053,0.024,0.022,0.814,0.322,11
68823,0.14,0.346,0.054,1.568,0.348,6
84735,0.314,0.419,0.076,2.007,0.359,4
74384,0.08,0.257,0.054,1.124,0.247,3
54915,0.163,0.22,0.069,0.726,0.198,8
53984,0.005,-0,0.036,0.407,0.156,1
76889,0.126,0.332,0.049,1.701,0.272,8
66970,0.012,-0.103,0.022,0.424,0.166,9
75580,0.217,0.446,0.058,2.718,0.722,11
67750,-0.037,-0.359,0.033,0.076,0.063,1
70032,0.046,0.018,0.049,0.32,0.107,9
40480,0.285,0.538,0.069,2.989,0.329,3
67937,0.217,0.276,0.061,1.353,0.261,1
53427,0.193,0.366,0.057,2.642,0.328,2
71561,0.04,0.117,0.043,0.864,0.157,1
64629,0.331,0.256,0.069,1.104,0.236,3
77421,0.134,0.263,0.055,1.104,0.25,9
71984,0.232,0.417,0.063,3.148,0.351,9
80692,0.102,0.433,0.044,2.832,0.487,10
43067,0.07,-0.006,0.042,0.23,0.093,7
46688,0.24,0.376,0.066,1.685,0.287,3
70504,-0.872,-1.987,-0.256,0.154,0.103,4
62931,0.097,0.31,0.052,1.93,0.371,4
34827,-0.004,-0.234,0.032,0.129,0.091,3
65104,0.012,0.08,0.032,1.277,0.281,5
78105,0.044,0.213,0.044,1.693,0.272,7
37987,0.057,0.083,0.053,0.632,0.334,11
35880,0.163,0.233,0.053,1.059,0.204,10
67537,0.025,0.051,0.042,0.404,0.128,8
37011,0.369,0.532,0.079,2.4,0.313,1
41597,0.116,0.02,0.05,0.285,0.088,12
44603,0.055,0.136,0.036,0.843,0.257,1
59920,-0.026,-0.051,0.031,0.656,0.152,4
52137,-0.011,0.09,0.031,1.36,0.336,11
47881,0.098,0.233,0.037,1.721,0.238,3
64977,-0.091,-0.443,0.021,0.187,0.092,4
78453,0.043,0.145,0.033,1.462,0.271,3
51148,0.248,0.303,0.067,1.219,0.295,11
74481,-0.094,-0.231,0.009,0.359,0.203,12
74574,0.505,0.612,0.098,2.459,0.318,7
50477,0.15,0.496,0.057,4.204,0.367,12
38175,0.044,0.055,0.041,0.795,0.246,5
82417,0.209,0.132,0.059,0.523,0.14,1
40030,0.444,0.523,0.101,1.391,0.229,10
39513,0.39,0.862,0.081,17.165,1.041,12
71271,0.347,0.422,0.066,1.945,0.201,2
84229,0.093,0.129,0.044,0.578,0.144,2
56016,0.339,0.55,0.074,3.485,0.513,6
36448,0.102,0.157,0.054,0.541,0.22,6
53966,0.256,0.549,0.063,3.354,0.474,4
36737,0.243,0.348,0.072,1.204,0.19,9
66850,0.056,0.084,0.041,0.73,0.214,4
32646,0.081,0.37,0.043,2.897,0.492,8
53608,0.325,0.42,0.081,3.684,0.545,5
49046,0.014,0.091,0.033,0.599,0.318,9
51860,-0.086,-0.063,0.016,1.736,0.475,7
53762,0.131,0.3,0.051,3.363,0.394,10
69340,0.285,0.336,0.072,1.01,0.238,7
57924,0.238,0.274,0.063,1.406,0.263,11
63534,0.076,0.221,0.042,1.941,0.311,1
80615,0.693,0.958,0.145,5.902,0.716,5
39021,-0.069,-0.311,0.008,0.378,0.162,10
44279,0.238,0.208,0.083,0.532,0.133,4
55901,0.117,0.177,0.058,1.402,0.25,3
77794,0.22,0.398,0.054,3.055,0.453,6
61083,0.066,0.044,0.041,0.35,0.207,12
35174,-0.094,-0.149,0.01,0.564,0.172,9
33640,0.261,-0.018,0.058,0.126,0.1,3
77716,0.072,0.117,0.052,0.848,0.192,3
83048,0.037,0.204,0.041,1.483,0.326,11
38044,0.095,0.127,0.061,0.644,0.151,4
46215,0.193,0.477,0.063,4.172,0.728,4
59708,0.063,0.184,0.042,1.132,0.222,10
77354,0.031,0.085,0.038,1.376,0.274,4
51043,0.41,0.554,0.085,1.73,0.264,1
76676,0.18,0.12,0.06,0.538,0.128,4
41836,0.034,0.123,0.037,0.872,0.178,5
46266,0.291,0.314,0.075,1.116,0.206,5
82876,0.169,0.208,0.06,0.58,0.157,3
79066,0.41,0.152,0.095,0.403,0.11,11
35515,0.412,0.582,0.095,5.618,0.648,7
48252,0.389,0.453,0.091,1.33,0.175,12
80171,0.107,0.236,0.048,2.134,0.263,9
53575,0.158,0.228,0.057,0.796,0.19,10
57983,0.191,0.237,0.059,0.907,0.222,10
80929,0.115,0.194,0.052,1.086,0.261,5
83798,-0.081,-0.174,0.019,0.348,0.124,12
59426,-0.069,-0.175,0.015,0.403,0.129,2
65034,0.239,0.382,0.061,3.04,0.327,12
50428,0.093,0.223,0.052,0.796,0.131,8
66199,-0.011,0.136,0.025,1.757,0.356,1
47074,0.225,0.32,0.065,1.77,0.288,10
56004,0.362,0.474,0.079,2.243,0.335,12
72505,0.207,0.334,0.065,2.002,0.239,5
36644,0.16,0.118,0.062,0.26,0.104,6
78310,0.085,0.304,0.046,2.906,0.353,6
67209,0.465,0.316,0.079,0.504,0.153,6
58517,0.202,0.332,0.065,1.91,0.299,11
82599,0.042,0.08,0.043,0.573,0.149,7
62691,-0.027,-0.482,0.025,0.159,0.106,8
72363,0.245,0.374,0.063,3.147,0.511,2
43107,0.403,0.637,0.093,3.962,0.493,9
37859,0.469,0.548,0.091,1.147,0.187,10
39754,0.256,0.714,0.058,7.435,0.56,10
61798,0.351,0.481,0.072,2.284,0.361,7
34228,0.048,0.039,0.044,0.295,0.12,1
68569,0.109,0.235,0.044,2.145,0.321,6
68217,0.03,0.099,0.024,1.247,0.294,10
80474,-0.092,0.091,0.011,2.715,0.554,9
73756,0.201,0.186,0.067,0.895,0.159,8
75128,-0.042,0.096,0.019,2.317,0.317,1
51327,0.315,0.596,0.057,5.878,0.474,10
84700,0.339,0.583,0.076,4.27,0.744,6
37999,0.406,0.529,0.091,2.36,0.345,1
80545,-0.078,-0.682,0.007,0.092,0.114,1
33856,0.007,0.073,0.033,0.748,0.156,9
77816,0.069,0.247,0.045,3.548,0.51,3
52290,-0.033,-0.058,0.021,0.395,0.18,3
75815,0.481,0.506,0.095,2.129,0.313,10
77372,0.149,0.38,0.052,3.503,0.461,1
59919,0.487,0.814,0.101,5.617,0.471,8
58982,0.404,0.658,0.081,4.087,0.371,2
72658,0.097,-0.062,0.053,0.075,0.067,8
63069,0.156,0.365,0.059,2.439,0.453,4
53480,0.194,0.396,0.066,2.679,0.546,9
64467,0.379,0.441,0.073,1.981,0.298,2
73371,0.152,0.407,0.062,2.604,0.291,5
80927,0.161,0.411,0.054,2.232,0.419,5
65969,0.198,0.164,0.051,0.272,0.097,9
72847,0.203,0.114,0.064,0.323,0.107,11
48209,-0.032,0.15,0.024,1.478,0.382,4
61787,-0.063,0.231,0.026,5.392,0.893,7
45262,0.054,0.142,0.04,0.487,0.128,12
35571,0.282,0.411,0.068,2.207,0.395,1
62190,0.492,0.468,0.092,1.662,0.22,11
37017,0.014,0.075,0.034,0.709,0.223,11
63543,-0.016,0.11,0.029,1.969,0.443,12
60415,0.169,0.21,0.054,0.724,0.266,10
73281,0.043,0.089,0.036,0.604,0.135,2
54627,0.121,0.582,0.054,4.401,0.478,5
44891,0.575,0.508,0.105,1.456,0.363,6
65138,-0.016,0.036,0.036,0.763,0.151,11
46340,0.042,0.144,0.038,1.328,0.334,12
84254,0.066,0.188,0.055,0.507,0.206,12
79055,0.056,0.205,0.041,0.588,0.112,5
79124,0.127,0.312,0.052,1.378,0.318,10
56355,0.078,0.131,0.053,0.455,0.145,7
52543,-0.096,-0.513,0.01,0.172,0.093,1
81226,0.059,0.313,0.044,4.157,0.505,11
73490,0.357,0.22,0.095,0.192,0.112,11
44275,0.142,0.174,0.056,1.057,0.234,1
33529,0.224,0.421,0.061,2.616,0.341,12
69916,0.274,0.379,0.072,1.62,0.261,9
58963,0.037,0.005,0.037,0.501,0.134,10
81238,-0.139,-0.561,0.001,0.335,0.144,9
58135,0.453,0.853,0.11,6.225,0.552,8
46274,0.086,0.168,0.049,0.825,0.157,1
80584,0.417,0.498,0.08,2.65,0.35,12
57719,0.261,0.5,0.069,5.376,0.8,5
43535,0.196,0.265,0.061,1.291,0.313,8
37850,0.493,0.737,0.071,16.774,1.097,9
56017,0.231,0.414,0.065,1.776,0.272,12
55721,0.022,0.152,0.034,1.026,0.227,9
72566,0.232,0.363,0.075,1.079,0.258,5
45626,0.109,0.23,0.048,1.515,0.396,1
66446,0.046,0.066,0.041,0.525,0.126,12
32656,0.213,0.266,0.066,0.684,0.213,1
60732,0.127,0.297,0.052,2.102,0.276,11
46185,0.056,0.236,0.036,3.721,0.492,7
36695,0.118,0.21,0.051,2.136,0.387,5
74790,-0.346,-0.995,-0.018,0.057,0.067,1
65620,0.493,0.678,0.104,3.773,0.549,2
32965,-0.098,-0.039,0.009,0.75,0.233,3
52498,0.25,0.345,0.072,1.675,0.231,11
43580,0.132,0.037,0.053,0.166,0.11,2
69742,0.266,0.44,0.072,2.586,0.412,11
69813,0.061,0.202,0.046,1.381,0.354,5
68544,0.45,0.585,0.076,5.596,0.554,7
37837,-0.184,0.068,-0.023,5.034,1.081,11
67132,0.03,0.087,0.042,0.688,0.197,6
82316,0.118,0.156,0.053,0.669,0.203,3
78015,0.132,0.38,0.053,3.035,0.383,9
76721,0.257,0.422,0.057,2.57,0.424,10
54902,0.051,0.019,0.042,0.257,0.164,7
55109,-0.033,-0.292,0.023,0.273,0.155,2
47247,0.19,0.413,0.064,3.596,0.404,12
49358,0.219,0.445,0.05,4.248,1.055,8
70902,-0.015,-0.062,0.037,0.415,0.092,7
82589,0.041,0.197,0.043,0.791,0.132,7
63139,-0.002,0.026,0.031,0.586,0.237,3
33170,0.477,0.618,0.098,1.929,0.388,6
42311,0.133,0.087,0.05,0.799,0.192,1
61087,0.423,0.501,0.09,3.518,0.624,6
52510,0.11,0.184,0.048,0.782,0.227,8
82182,0.204,0.155,0.068,0.424,0.134,12
77753,0.096,-0.136,0.068,0.057,0.066,11
40058,0.073,0.291,0.042,2.175,0.399,12
37000,0.079,0.179,0.045,0.799,0.173,8
64569,-0.003,0.231,0.026,2.465,0.322,9
54161,0.146,0.529,0.055,7.078,0.587,7
55775,0.181,0.44,0.06,3.092,0.401,9
66443,0.137,0.174,0.051,0.62,0.159,9
59727,-0.04,-0.037,0.015,0.789,0.263,3
64731,0.022,0,0.037,0.32,0.098,7
66338,0.053,0.315,0.045,3.775,0.408,3
51036,0.029,0.107,0.036,0.791,0.225,10
61295,0.317,0.376,0.073,1.422,0.208,10
82716,0.26,0.416,0.062,1.992,0.328,4
52879,0.023,-0.135,0.038,0.226,0.095,7
50367,0.424,0.446,0.096,1.186,0.231,5
37594,0.105,0.196,0.049,0.677,0.176,10
73909,-0.034,0.076,0.031,0.976,0.28,5
34962,0.029,0.28,0.04,1.507,0.3,9
36268,0.04,0.058,0.041,0.67,0.269,6
70082,-0.016,0.061,0.031,0.776,0.223,7
51239,0.253,0.343,0.063,1.63,0.364,1
33795,0.258,0.333,0.065,1.845,0.396,6
79565,0.218,0.263,0.062,1.08,0.267,5
52903,0.213,0.195,0.065,0.655,0.195,4
53420,-0.05,-0.266,0.029,0.135,0.125,5
34344,0.423,0.484,0.088,2.151,0.242,1
62063,0.122,0.189,0.051,0.758,0.14,11
50097,0.006,-0.014,0.035,0.379,0.134,4
44232,0.066,0.033,0.044,0.412,0.113,10
32946,-0.031,0.105,0.026,0.913,0.299,2
72411,0.09,0.353,0.044,2.259,0.567,5
47207,0.056,0.02,0.036,0.32,0.108,5
36955,-0.113,-0.319,-0.011,0.162,0.106,4
55265,0.076,0.127,0.045,0.951,0.208,1
61258,0.019,0.11,0.034,1.099,0.226,3
50039,0.263,0.289,0.078,1.211,0.285,5
67662,0.497,0.764,0.092,5.714,0.498,7
70008,0.43,0.62,0.085,5.111,0.671,10
47527,-0.023,-0.101,0.027,0.218,0.123,8
